statea,countya,tracta,pnhwht12,pnhblk12,phisp12,pntv12,pasian12,phaw12,pindia12,pchina12,pfilip12,pjapan12,pkorea12,pviet12,p15wht12,p65wht12,p15blk12,p65blk12,p15hsp12,p65hsp12,p15ntv12,p65ntv12,p15asn12,p65asn12,pmex12,pcuban12,ppr12,pruanc12,pitanc12,pgeanc12,piranc12,pscanc12,pfb12,pnat12,p10imm12,prufb12,pitfb12,pgefb12,pirfb12,pscfb12,polang12,plep12,phs12,pcol12,punemp12,pflabf12,pprof12,pmanuf12,psemp12,pvet12,p65pov12,ppov12,pwpov12,pnapov12,pfmpov12,pbpov12,phpov12,papov12,pvac12,pown12,pmulti12,p30old12,p18und12,p60up12,p75up12,pmar12,pwds12,pfhh12,p10yrs12,ageblk12,agentv12,agewht12,agehsp12,india12,filip12,japan12,korea12,viet12,pop12,nhwht12,nhblk12,ntv12,hisp12,asian12,haw12,china12,a15wht12,a65wht12,a15blk12,a65blk12,a15hsp12,a65hsp12,a15ntv12,a65ntv12,ageasn12,a15asn12,a65asn12,mex12,pr12,cuban12,geanc12,iranc12,itanc12,ruanc12,fb12,nat12,itfb12,rufb12,ag5up12,irfb12,gefb12,scanc12,n10imm12,olang12,lep12,scfb12,ag25up12,dfmpov12,hh12,hinc12,hincb12,hincw12,hinch12,incpc12,ag18cv12,vet12,empclf12,dpov12,npov12,dbpov12,nbpov12,dnapov12,nnapov12,dwpov12,nwpov12,dhpov12,nhpov12,hhb12,hhw12,hhh12,hs12,col12,clf12,unemp12,dflabf12,flabf12,prof12,manuf12,semp12,hha12,hinca12,n65pov12,nfmpov12,napov12,dapov12,family12,hu12,vac12,ohu12,own12,rent12,dmulti12,mrent12,mhmval12,multi12,h30old12,h10yrs12,a18und12,a60up12,a75up12,ag15up12,mar12,wds12,fhh12
22,071,003701,21.96999931,71.51000214,3.25999999,0,2.75,0,1.539999962,0,0,1.200000048,0,0,2.339999914,32.81000137,16.17000008,15.85999966,0,73.68000031,0,0,0,0,2.630000114,0,0,0,3.720000029,4.349999905,0.569999993,0.230000004,4,1.370000005,1.769999981,0,0,0,0.569999993,0,5.800000191,0,45.33000183,34.52999878,18.65999985,58.61999893,49.11000061,0,4.909999847,6.96999979,2.130000114,28.01000023,24.53000069,0,19.06999969,29.72999954,0,0,25.70000076,41.02999878,48.59000015,91.72000122,16.81999969,26.37000084,9.43999958,30.26000023,22.82999992,21.12999916,66.66999817,1299,4,384,57,27,0,21,0,0,1748,384,1250,0,57,48,0,0,9,126,210,206,0,42,0,0,48,0,0,46,0,0,76,10,65,0,70,24,0,0,1689,10,0,4,31,98,0,0,1306,388,870,30756,19056,34286,16488,19606,1449,101,672,1735,486,1295,385,4,0,375,92,57,0,544,270,50,592,451,820,153,899,527,330,0,33,48,49722,37,74,0,48,388,1171,301,870,357,513,1171,1056,158700,569,1074,580,294,461,165,1520,460,347,82
22,071,003702,28.68000031,61.43000031,7.710000038,0.620000005,0.029999999,0,0,0,0.029999999,0,0,0,8.100000381,13.43999958,13.85000038,8.760000229,23.53000069,4.409999847,0,0,0,0,5.130000114,0.400000006,0,0.449999988,3.089999914,5.71999979,4.699999809,0,1.870000005,1.840000033,0.200000003,0,0.620000005,0,0,0,9.239999771,0,41.29000092,30.57999992,13.56999969,65.76999664,41.43999863,0.589999974,15.42000008,8.430000305,2.619999886,37.81999969,12.44999981,0,25.11000061,52.52000046,26.59000015,100,22.62000084,41.59999847,39.54000092,93.16999817,16.96999931,19.46999931,4.849999905,32.84000015,22.60000038,28.78000069,62.54999924,2180,22,1012,272,0,1,0,0,0,3529,1012,2168,22,272,1,0,0,82,136,302,191,64,12,0,0,1,0,0,181,0,14,202,166,109,16,66,65,22,0,3322,0,0,0,7,307,0,0,2538,900,1642,30507,24048,56125,44125,24301,2930,247,1699,3509,1327,2180,1145,22,0,1012,126,252,67,968,521,123,1048,776,1945,264,1630,1072,704,10,262,0,-999,92,226,1,1,900,2122,480,1642,683,959,2122,723,211700,839,1977,1027,599,687,171,3057,1004,691,259
22,071,003800,90.93000031,2.339999914,3.299999952,0,0.620000005,0,0.620000005,0,0,0,0,0,1.970000029,25.54999924,0,2.940000057,0,0,-999,-999,0,0,1.649999976,0.550000012,0,1.309999943,10.23999977,13.13000011,16.01000023,1.309999943,6.940000057,3.50999999,0.689999998,0,0,3.440000057,0,0,18.28000069,2.960000038,9.760000229,57.38999939,2.980000019,57.00999832,59.97999954,4.659999847,18.44000053,8.18999958,0.829999983,5.829999924,6.260000229,-999,0,5.880000114,0,0,46.20000076,51.43000031,79.66000366,98.34999847,1.789999962,38.90000153,6.460000038,37.58000183,22.11000061,0,70.48999786,34,0,1323,48,9,0,0,0,0,1455,1323,34,0,48,9,0,0,26,338,0,1,0,0,0,0,9,0,0,24,0,8,191,233,149,19,101,51,0,0,1455,0,50,19,10,266,43,0,1373,258,976,66389,-999,68581,32098,69942,1429,117,987,1442,84,34,2,0,0,1310,82,48,0,32,856,47,134,788,972,29,635,362,592,46,182,0,-999,12,0,0,9,258,1814,838,976,502,474,1814,862,350000,1445,1784,688,26,566,94,1429,537,316,0
22,071,003900,29.29999924,54.84000015,12.72000027,0,1.080000043,0,1.080000043,0,0,0,0,0,0,5.199999809,9.710000038,10.35999966,18.30999947,12.68000031,-999,-999,0,0,4.300000191,1.789999962,0,1.700000048,3.140000105,4.389999866,2.960000038,0,4.659999847,3.940000057,0.720000029,0,0,0,0,0,10.31000042,1.590000033,32.88999939,34.09999847,10.68999958,67.83000183,27.46999931,7.440000057,2,15.07999992,3.849999905,31.54000092,20.48999977,-999,35.09000015,43.04000092,13.38000011,0,33.22999954,22.70999908,71.61000061,84.41000366,9.680000305,18.54999924,3.140000105,11.46000004,27.56999969,36.84000015,86.30999756,618,0,327,142,12,0,0,0,0,1116,327,612,0,142,12,0,0,0,17,60,64,26,18,0,0,12,0,0,48,0,20,49,33,35,19,52,44,0,0,1067,0,0,0,8,110,17,0,909,114,621,26915,24542,55167,32500,28904,1008,152,699,1116,352,618,266,0,0,327,67,142,19,310,208,90,299,310,767,82,460,312,192,52,14,12,-999,43,40,0,12,114,930,309,621,141,480,930,648,220800,666,785,536,108,207,35,1030,118,284,42
22,071,004000,17.18000031,71.91999817,10.06000042,0.400000006,0,0,0,0,0,0,0,0,0,6.25,9.020000458,14.22999954,41.00999832,0,0,100,-999,-999,0,0,0,0,1.809999943,1.75,4.519999981,1.299999952,5.420000076,0.959999979,2.880000114,0,0,0,0,0,8.5,0,54.77000046,15.18000031,23.86000061,57.41999817,20.02000046,8.460000038,15.30000019,9.380000114,0.850000024,32.00999832,54.29999924,0,16.07999992,27.57999992,29.20999908,-999,29.88999939,32.20000076,51.75,98.88999939,13.84000015,15.07999992,8.140000343,10.56000042,26.69000053,41.95999908,67.69000244,1286,7,304,178,0,0,0,0,0,1770,304,1273,7,178,0,0,0,0,19,116,183,73,0,0,7,0,0,0,0,0,0,31,80,32,0,96,17,0,0,1659,0,0,23,51,141,0,0,1331,286,882,22063,21696,21607,50662,14047,1525,143,804,1762,564,1280,353,7,0,302,164,178,52,661,170,57,729,202,1056,252,775,445,161,68,123,0,-999,15,46,0,0,286,1258,376,882,284,598,1258,549,94200,651,1244,597,245,267,144,1581,167,422,120
22,071,004100,83.54000092,12.77000046,2.390000105,0.409999996,0,0,0,0,0,0,0,0,12.76000023,11.68999958,18.71999931,19.79000092,0,22.86000061,0,0,-999,-999,0.479999989,0,0,0.07,7.579999924,14.34000015,13.80000019,0.610000014,3.690000057,2.730000019,0.959999979,0,0.479999989,0,0,0,8.909999847,3.019999981,13.47000027,53.56000137,3.549999952,64.37999725,61.47000122,2.289999962,11.47000027,8.289999962,2.119999886,11.13000011,7.440000057,0,5.5,32.61999893,31.43000031,-999,15.14000034,52.22999954,41.18999863,97.73000336,14.27999973,19.54000092,3.349999905,50.54999924,18.75,5.5,65.98999786,187,6,1223,35,0,0,0,0,0,1464,1223,187,6,35,0,0,0,156,143,35,37,0,8,0,0,0,0,0,7,0,0,210,202,111,1,54,40,7,0,1391,0,0,9,14,124,42,0,1195,309,785,46642,23378,65556,63393,35602,1255,104,872,1464,163,187,61,6,0,1223,91,35,11,132,628,21,161,640,873,31,640,412,536,20,100,0,-999,31,17,0,0,309,925,140,785,410,375,925,833,311800,381,904,518,209,286,49,1264,639,237,17
22,071,004401,4.019999981,94.76000214,1.220000029,0,0,0,0,0,0,0,0,0,0,8.930000305,23.31999969,8.329999924,0,0,-999,-999,-999,-999,0.649999976,0,0,0,0,0.360000014,0,0,1.220000029,0,0.569999993,0,0,0,0,0,3.339999914,0,68.62999725,9.979999542,29.30999947,57.02999878,13.43999958,0,10.71000004,1.940000057,1.940000057,54.88000107,37.5,-999,48.20999908,56.31999969,0,-999,40.93000031,31.98999977,44.70999908,89.19999695,33.43000031,11.55000019,2.650000095,13.72000027,26.97999954,55.38000107,71.66000366,1321,0,56,17,0,0,0,0,0,1394,56,1321,0,17,0,0,0,0,5,308,110,0,0,0,0,0,0,0,9,0,0,5,0,0,0,17,0,0,0,1286,0,0,0,8,43,0,0,832,251,547,21448,21629,21607,-999,10574,928,18,439,1394,765,1321,744,0,0,56,21,17,0,509,29,9,571,83,621,182,633,361,59,0,47,0,-999,27,121,0,0,251,926,379,547,175,372,926,536,118900,414,826,392,466,161,37,1086,149,293,139
22,071,004402,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,100,100,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,19,19,0,0,0,19,-999,-999,19,19,0,0,0,0,0,0,0,0
22,071,004500,18.12000084,70.86000061,8.109999657,0,1.950000048,0,0,0,0,0,1.950000048,0,0,6.690000057,14.93999958,12.56999969,22.72999954,0,-999,-999,0,0,1.110000014,0.419999987,0,0.370000005,1.529999971,2.109999895,1.419999957,0.209999993,6.900000095,2.109999895,4.369999886,0,0,0,0,0,8.699999809,0.540000021,51.34999847,26.13999939,16.53000069,74.08999634,31.67000008,3.130000114,8.020000458,6.619999886,0.209999993,25.61000061,8.430000305,-999,12.89000034,33.97999954,0,0,29,39.16999817,39.86999893,95.05999756,18.86000061,12.85999966,3.529999971,24.96999931,22.67000008,24.81999969,79.31999969,1345,0,344,154,0,0,0,37,0,1898,344,1345,0,154,37,0,0,0,23,201,169,35,0,0,0,37,0,0,21,0,8,40,27,29,7,131,40,0,0,1862,0,0,4,83,162,10,0,1408,419,1006,29722,22297,51688,57727,21986,1540,102,960,1898,486,1345,457,0,0,344,29,154,0,660,245,76,723,368,1113,184,772,572,304,30,77,21,95481,4,54,0,37,419,1417,411,1006,394,612,1417,743,209400,565,1347,798,358,244,67,1654,413,375,104
22,071,004600,73.13999939,12.42000008,10.31999969,0.879999995,0,0,0,0,0,0,0,0,12.94999981,9.069999695,36.77999878,4.630000114,16.38999939,3.609999895,0,0,-999,-999,4.909999847,0,1.389999986,0,9.369999886,9.569999695,11.43000031,1.659999967,3.690000057,2.059999943,1.179999948,0,0,0,0,0.270000011,11.36999989,0,12.60000038,64.84999847,1.340000033,73.12000275,60.52999878,3.599999905,14.02000046,6.71999979,0.50999999,17.92000008,11.43999958,0,12.18000031,68.94000244,9.180000305,-999,11.44999981,40.13999939,51.68999863,96.62000275,18.44000053,12.81999969,3.619999886,39.25999832,23.95000076,18.79999924,76.86000061,367,26,2162,305,0,0,0,0,0,2956,2162,367,26,305,0,0,0,280,196,135,17,50,11,0,0,0,0,0,145,41,0,283,338,277,0,109,61,0,0,2787,0,0,49,35,317,0,8,2270,665,1547,47823,12669,59899,37604,40530,2411,162,1804,2936,526,367,253,26,0,2142,245,305,28,189,1193,121,286,1472,1791,24,1302,952,1092,65,253,0,-999,15,81,0,0,665,1747,200,1547,621,926,1747,833,303100,903,1688,1189,545,379,107,2443,959,585,125
